STT,Đối tượng ,Hành vi ,Nội dung ,Điều khoản ,Liên kết khái niệm ,Chế tài 
1,"Tổ chức, cá nhân","Vận chuyển, chôn, lấp, đổ, thải, đốt chất thải ","Chất thải rắn, chất thải nguy hại không đúng quy trình kỹ thuật, quy định của pháp luật về bảo vệ môi trường.","Điều 6, Khoản 1","Chất thải rắn (Điều 3, Khoản 19), Chất thải nguy hại (Điều 3, Khoản 20)",Bị xử lý theo quy định của Luật này và quy định khác của pháp luật có liên quan.
2,"Tổ chức, cá nhân",Xả thải ,"Xả nước thải, xả khí thải chưa được xử lý đạt quy chuẩn kỹ thuật môi trường ra môi trường.","Điều 6, Khoản 2","Quy chuẩn kỹ thuật môi trường (Điều 3, Khoản 10)",Bị xử lý theo quy định của Luật này và quy định khác của pháp luật có liên quan.
3,"Tổ chức, cá nhân",Phát tán chất độc hại ,"Phát tán, thải ra môi trường chất độc hại, vi rút độc hại có khả năng lây nhiễm cho con người, động vật, vi sinh vật chưa được kiểm định, xác súc vật chết do dịch bệnh và tác nhân độc hại khác.","Điều 6, Khoản 3","Chất ô nhiễm (Điều 3, Khoản 15), Ô nhiễm môi trường (Điều 3, Khoản 12)",Bị xử lý theo quy định của Luật này và quy định khác của pháp luật có liên quan.
4,"Tổ chức, cá nhân",Gây ô nhiễm tiếng ồn/độ rung/khói/bụi/mùi độc hại,"Gây tiếng ồn, độ rung vượt mức cho phép theo quy chuẩn kỹ thuật môi trường; xả thải khói, bụi, khí có mùi độc hại vào không khí.","Điều 6, Khoản 4","Quy chuẩn kỹ thuật môi trường (Điều 3, Khoản 10)",Bị xử lý theo quy định của Luật này và quy định khác của pháp luật có liên quan.
5,Chủ dự án/Cơ sở,Thực hiện dự án/xả thải thiếu điều kiện,Thực hiện dự án đầu tư hoặc xả thải khi chưa đủ điều kiện theo quy định của pháp luật về bảo vệ môi trường.,"Điều 6, Khoản 5","Giấy phép môi trường (Điều 3, Khoản 8), Đánh giá tác động môi trường (Điều 3, Khoản 7)",Bị xử lý theo quy định của Luật này và quy định khác của pháp luật có liên quan.
6,"Tổ chức, cá nhân",Nhập khẩu chất thải,"Nhập khẩu, tạm nhập, tái xuất, quá cảnh chất thải từ nước ngoài dưới mọi hình thức.","Điều 6, Khoản 6","Chất thải (Điều 3, Khoản 14), Quản lý chất thải (Chương VI)",Bị xử lý theo quy định của Luật này và quy định khác của pháp luật có liên quan.
7,"Tổ chức, cá nhân",Nhập khẩu trái phép ,"Nhập khẩu trái phép phương tiện, máy móc, thiết bị đã qua sử dụng để phá dỡ, tái chế.","Điều 6, Khoản 7","Phế liệu (Điều 3, Khoản 27), Tái chế (Điều 54)",Bị xử lý theo quy định của Luật này và quy định khác của pháp luật có liên quan.
8,Chủ dự án/Cơ sở,Không ứng phó sự cố ,"Không thực hiện công trình, biện pháp, hoạt động phòng ngừa, ứng phó, khắc phục sự cố môi trường theo quy định của pháp luật.","Điều 6, Khoản 8","Sự cố môi trường (Điều 3, Khoản 14), Ứng phó sự cố môi trường (Chương X, Mục 1)",Bị xử lý theo quy định của Luật này và quy định khác của pháp luật có liên quan.
9,"Tổ chức, cá nhân/Người có thẩm quyền",Che giấu/Làm sai lệch thông tin,"Che giấu hành vi gây ô nhiễm môi trường, cản trở, làm sai lệch thông tin, gian dối trong hoạt động bảo vệ môi trường dẫn đến hậu quả xấu đối với môi trường.","Điều 6, Khoản 9","Ô nhiễm môi trường (Điều 3, Khoản 12)",Bị xử lý theo quy định của Luật này và quy định khác của pháp luật có liên quan.
10,"Tổ chức, cá nhân",Sản xuất/kinh doanh sản phẩm nguy hại,"Sản xuất và kinh doanh sản phẩm gây nguy hại cho sức khỏe con người, sinh vật và tự nhiên; sản xuất, sử dụng nguyên liệu, vật liệu xây dựng chứa yếu tố độc hại vượt mức cho phép theo quy chuẩn kỹ thuật môi trường.","Điều 6, Khoản 10","Quy chuẩn kỹ thuật môi trường (Điều 3, Khoản 10)",Bị xử lý theo quy định của Luật này và quy định khác của pháp luật có liên quan.
