STT,Chương,Khái niệm,Điều khoản ,Nội dung ,Keyphrase 
1,Chương I,Môi trường,"Điều 3, Khoản 1","bao gồm các yếu tố vật chất tự nhiên và nhân tạo quan hệ mật thiết với nhau, bao quanh con người, có ảnh hưởng đến đời sống, kinh tế, xã hội, sự tồn tại, phát triển của con người, sinh vật và tự nhiên.","Yếu tố vật chất tự nhiên và nhân tạo, bao quanh con người, ảnh hưởng đến đời sống."
2,Chương I,Hoạt động bảo vệ môi trường,"Điều 3, Khoản 2","là hoạt động phòng ngừa, hạn chế tác động xấu đến môi trường; ứng phó sự cố môi trường; khắc phục ô nhiễm, suy thoái môi trường, cải thiện chất lượng môi trường; sử dụng hợp lý tài nguyên thiên nhiên, đa dạng sinh học và ứng phó với biến đổi khí hậu.","Phòng ngừa, hạn chế tác động xấu; ứng phó sự cố; khắc phục ô nhiễm; ứng phó biến đổi khí hậu."
3,Chương I,Thành phần môi trường,"Điều 3, Khoản 3","là yếu tố vật chất tạo thành môi trường gồm đất, nước, không khí, sinh vật, âm thanh, ánh sáng và các hình thái vật chất khác.","Yếu tố vật chất tạo thành môi trường (đất, nước, không khí, sinh vật, âm thanh, ánh sáng)."
4,Chương I,Quy hoạch bảo vệ môi trường quốc gia,"Điều 3, Khoản 4","là việc sắp xếp, định hướng phân bố không gian phân vùng quản lý chất lượng môi trường, bảo tồn thiên nhiên và đa dạng sinh học, quản lý chất thải, quan trắc và cảnh báo môi trường trên lãnh thổ xác định để bảo vệ môi trường, phục vụ mục tiêu phát triển bền vững đất nước cho thời kỳ xác định.","Sắp xếp không gian phân vùng quản lý chất lượng môi trường, phục vụ phát triển bền vững."
5,Chương I,Đánh giá môi trường chiến lược,"Điều 3, Khoản 5","là quá trình nhận dạng, dự báo xu hướng của các vấn đề môi trường chính, làm cơ sở để tích hợp, lồng ghép giải pháp bảo vệ môi trường trong chính sách, chiến lược, quy hoạch.","Nhận dạng, dự báo xu hướng của vấn đề môi trường, tích hợp giải pháp BVMT trong chính sách/chiến lược/quy hoạch."
6,Chương I,Đánh giá sơ bộ tác động môi trường (PEIA),"Điều 3, Khoản 6","là việc xem xét, nhận dạng các vấn đề môi trường chính của dự án đầu tư trong giai đoạn nghiên cứu tiền khả thi hoặc giai đoạn đề xuất thực hiện dự án đầu tư.",Nhận dạng vấn đề môi trường trong giai đoạn nghiên cứu tiền khả thi.
7,Chương I,Đánh giá tác động môi trường (EIA/ĐTM),"Điều 3, Khoản 7","là quá trình phân tích, đánh giá, nhận dạng, dự báo tác động đến môi trường của dự án đầu tư và đưa ra biện pháp giảm thiểu tác động xấu đến môi trường.","Phân tích, đánh giá, dự báo tác động đến môi trường của dự án đầu tư."
8,Chương I,Giấy phép môi trường,"Điều 3, Khoản 8","là văn bản do cơ quan quản lý nhà nước có thẩm quyền cấp cho tổ chức, cá nhân có hoạt động sản xuất, kinh doanh, dịch vụ được phép xả chất thải ra môi trường, quản lý chất thải, nhập khẩu phế liệu từ nước ngoài làm nguyên liệu sản xuất kèm theo yêu cầu, điều kiện về bảo vệ môi trường theo quy định của pháp luật.","Văn bản do cơ quan thẩm quyền cấp, cho phép xả chất thải, quản lý chất thải, nhập khẩu phế liệu."
9,Chương I,Đăng ký môi trường,"Điều 3, Khoản 9","là việc chủ dự án đầu tư, cơ sở sản xuất, kinh doanh, dịch vụ thực hiện đăng ký với cơ quan quản lý nhà nước các nội dung liên quan đến xả chất thải và biện pháp bảo vệ môi trường của dự án đầu tư, cơ sở sản xuất, kinh doanh, dịch vụ (sau đây gọi chung là dự án đầu tư, cơ sở).",Chủ dự án/cơ sở đăng ký với cơ quan nhà nước về xả chất thải và biện pháp BVMT.
10,Chương I,Quy chuẩn kỹ thuật môi trường,"Điều 3, Khoản 10","là quy định bắt buộc áp dụng mức giới hạn của thông số về chất lượng môi trường, hàm lượng của chất ô nhiễm có trong nguyên liệu, nhiên liệu, vật liệu, thiết bị, sản phẩm, hàng hóa, chất thải, các yêu cầu kỹ thuật và quản lý được cơ quan nhà nước có thẩm quyền ban hành theo quy định của pháp luật về tiêu chuẩn và quy chuẩn kỹ thuật.","Quy định bắt buộc áp dụng mức giới hạn thông số, hàm lượng chất ô nhiễm."
