STT,Nhóm Dự án,Tiêu chí,Mức độ ảnh hưởng môi trường ,Điều khoản,Hoạt động Bắt buộc ,Yếu tố Nhạy cảm ,Keyphrase
I,Nhóm I,Dự án có nguy cơ tác động xấu đến môi trường mức độ cao.,Nguy cơ cao,"Điều 28, Khoản 3",Đánh giá sơ bộ tác động môi trường (PEIA); Đánh giá tác động môi trường (EIA/ĐTM); Giấy phép môi trường.,"Khu dân cư tập trung; nguồn nước cấp sinh hoạt; khu bảo tồn thiên nhiên; các loại rừng; đất trồng lúa nước từ 02 vụ trở lên; vùng đất ngập nước quan trọng; yêu cầu di dân, tái định cư,.","Nguy cơ cao, ĐTM bắt buộc, PEIA"
1.1,Nhóm I (a),"Dự án thuộc loại hình có nguy cơ gây ô nhiễm môi trường với quy mô, công suất lớn; dự án thực hiện dịch vụ xử lý chất thải nguy hại; dự án có nhập khẩu phế liệu từ nước ngoài làm nguyên liệu sản xuất.",Rủi ro ô nhiễm cao (do quy mô hoặc tính chất nguy hiểm của chất thải/phế liệu).,"Điều 28, Khoản 3a,","Thực hiện ĐTM, Giấy phép môi trường.",N/A (Tiêu chí chính là quy mô lớn hoặc tính chất rủi ro).,"Quy mô lớn, Xử lý chất thải nguy hại, Nhập khẩu phế liệu"
1.2,Nhóm I (b),"Dự án thuộc loại hình có nguy cơ gây ô nhiễm môi trường với quy mô, công suất trung bình nhưng có yếu tố nhạy cảm; hoặc dự án không thuộc loại hình có nguy cơ gây ô nhiễm với quy mô, công suất lớn nhưng có yếu tố nhạy cảm về môi trường.","Rủi ro cao do kết hợp quy mô (trung bình hoặc lớn) với vị trí nhạy cảm,.","Điều 28, Khoản 3b,","Thực hiện ĐTM, Giấy phép môi trường.",Có (Yếu tố nhạy cảm làm tăng mức độ rủi ro).,"Ô nhiễm trung bình/lớn, Yếu tố nhạy cảm"
1.3,Nhóm I (c),"Dự án sử dụng đất, đất có mặt nước, khu vực biển với quy mô lớn hoặc quy mô trung bình nhưng có yếu tố nhạy cảm về môi trường.","Rủi ro cao do quy mô sử dụng tài nguyên/không gian,.","Điều 28, Khoản 3c,","Thực hiện ĐTM, Giấy phép môi trường.",Có (Yếu tố nhạy cảm làm tăng mức độ rủi ro).,"Sử dụng đất quy mô lớn, Biển, đất có mặt nước"
1.4,Nhóm I (d),"Dự án khai thác khoáng sản, tài nguyên nước với quy mô, công suất lớn hoặc quy mô, công suất trung bình nhưng có yếu tố nhạy cảm về môi trường.","Rủi ro cao do tính chất khai thác tài nguyên và/hoặc vị trí nhạy cảm,.","Điều 28, Khoản 3d,","Thực hiện ĐTM, Giấy phép môi trường.",Có (Yếu tố nhạy cảm làm tăng mức độ rủi ro).,"Khai thác khoáng sản quy mô lớn, Tài nguyên nước"
1.5,Nhóm I (e),Dự án có yêu cầu chuyển mục đích sử dụng đất quy mô trung bình trở lên nhưng có yếu tố nhạy cảm về môi trường.,"Rủi ro cao (do thay đổi mục đích sử dụng đất và vị trí nhạy cảm),.","Điều 28, Khoản 3đ,","Thực hiện ĐTM, Giấy phép môi trường.",Có (Yếu tố nhạy cảm làm tăng mức độ rủi ro).,"Chuyển mục đích sử dụng đất, Quy mô trung bình trở lên"
1.6,Nhóm I (e),"Dự án có yêu cầu di dân, tái định cư với quy mô lớn,.","Rủi ro cao (do tác động xã hội lớn),.","Điều 28, Khoản 3e,","Thực hiện ĐTM, Giấy phép môi trường.","Có (Yếu tố nhạy cảm là yêu cầu di dân, tái định cư).","Di dân, tái định cư quy mô lớn"
II,Nhóm II,Dự án có nguy cơ tác động xấu đến môi trường (trừ Nhóm I).,Nguy cơ tác động xấu (trung bình),"Điều 28, Khoản 4","Một số đối tượng (c, d, đ, e) phải thực hiện Đánh giá tác động môi trường (EIA); Tất cả phải có Giấy phép môi trường.","Có (Áp dụng cho điểm b, c, d, đ),,.","Nguy cơ tác động xấu, ĐTM theo tiêu chí"
2.1,Nhóm II (a),"Dự án thuộc loại hình có nguy cơ gây ô nhiễm môi trường với quy mô, công suất trung bình,.","Nguy cơ tác động xấu (chủ yếu dựa vào quy mô/công suất),.","Điều 28, Khoản 4a,",Phải có Giấy phép môi trường.,N/A,Ô nhiễm trung bình
2.2,Nhóm II (b),"Dự án có nguy cơ gây ô nhiễm môi trường với quy mô, công suất nhỏ nhưng có yếu tố nhạy cảm; hoặc dự án không thuộc loại hình có nguy cơ gây ô nhiễm môi trường với quy mô, công suất trung bình nhưng có yếu tố nhạy cảm về môi trường.","Nguy cơ tác động xấu do có yếu tố nhạy cảm (mặc dù quy mô nhỏ),.","Điều 28, Khoản 4b,",Phải có Giấy phép môi trường.,Có,"Quy mô nhỏ, nhạy cảm"
