STT,Quan hệ ,Khái niệm 1 ,Điều khoản 1 ,Khái niệm 2 ,Điều khoản 2 ,Quan hệ được quy định tại
1,Bao gồm,Môi trường,"Điều 3, Khoản 1",Thành phần môi trường,"Điều 3, Khoản 3","Điều 3, Khoản 1"
2,Cơ sở để lập,Chiến lược bảo vệ môi trường quốc gia,"Điều 22, Khoản 1",Quy hoạch bảo vệ môi trường quốc gia,"Điều 23, Khoản 1","Điều 22, Khoản 1; Điều 23, Khoản 1"
3,Cơ sở để đánh giá,Ô nhiễm môi trường,"Điều 3, Khoản 12",Quy chuẩn kỹ thuật môi trường,"Điều 3, Khoản 10","Điều 3, Khoản 12; Điều 98, Khoản 2a"
4,Yếu tố cấu thành,Ứng phó với biến đổi khí hậu,"Điều 3, Khoản 32",Giảm nhẹ phát thải khí nhà kính,"Điều 3, Khoản 31","Điều 3, Khoản 32"
5,Mục tiêu đạt được,Xả nước thải/khí thải,"Điều 72, Khoản 2a; Điều 72, Khoản 3",Quy chuẩn kỹ thuật môi trường,"Điều 3, Khoản 10","Điều 72, Khoản 2a, 3"
6,Quan hệ hành chính,Giấy phép môi trường,"Điều 3, Khoản 8",Đăng ký môi trường,"Điều 3, Khoản 9","Điều 39, Khoản 1; Điều 49, Khoản 1"
7,Hậu quả của Sự cố,Sự cố môi trường,"Điều 3, Khoản 14","Ô nhiễm, suy thoái môi trường","Điều 3, Khoản 12 & 13","Điều 3, Khoản 14"
8,Được miễn trừ,Dự án đầu tư công khẩn cấp,"Điều 79, Khoản 2 (tham chiếu)",Đánh giá tác động môi trường (EIA),"Điều 3, Khoản 7","Điều 79, Khoản 2"
9,Căn cứ để cấp,Quyết định phê duyệt kết quả thẩm định ĐTM,"Điều 36, Khoản 1",Giấy phép môi trường,"Điều 3, Khoản 8","Điều 36, Khoản 1; Điều 42, Khoản 1b"
10,Phải có trước khi,Giấy phép môi trường,"Điều 3, Khoản 8",Vận hành thử nghiệm công trình xử lý chất thải,"Điều 3, Khoản 26","Điều 42, Khoản 2a"
11,Phân loại chất thải,Chất thải rắn sinh hoạt,"Điều 75, Khoản 1","Chất thải có khả năng tái sử dụng, tái chế","Điều 75, Khoản 1a","Điều 75, Khoản 1"
12,Phân loại chất thải,Chất thải rắn công nghiệp thông thường,"Điều 81, Khoản 1",Chất thải nguy hại,"Điều 3, Khoản 20","Điều 81, Khoản 3"
13,Chi trả theo,Giá dịch vụ xử lý chất thải rắn sinh hoạt,"Điều 79, Khoản 1",Khối lượng hoặc thể tích chất thải đã được phân loại,"Điều 79, Khoản 1b","Điều 79, Khoản 1b"
14,Nguyên tắc bồi thường,"Tổ chức, cá nhân gây thiệt hại về môi trường","Điều 130, Khoản 2","Thiệt hại do ô nhiễm, suy thoái môi trường","Điều 130, Khoản 1","Điều 130, Khoản 2"
15,Trách nhiệm chứng minh,Hành vi vi phạm pháp luật về môi trường,"Điều 133, Khoản 2",Mối quan hệ nhân quả (với thiệt hại),"Điều 133, Khoán 2","Điều 133, Khoản 2"
16,Kiểm soát nguồn thải,Nguồn thải vào môi trường nước mặt,"Điều 29, Khoản 1",Khả năng chịu tải của môi trường,"Điều 3, Khoản 23","Điều 29, Khoản 2"
17,Thành phần hạ tầng,Hạ tầng kỹ thuật bảo vệ môi trường,"Điều 3, Khoản 24","Hệ thống xử lý chất thải (bao gồm nước thải, khí thải, chất thải rắn, chất thải nguy hại)","Điều 132, Khoản 1a","Điều 3, Khoản 24; Điều 132, Khoản 1"
18,Yêu cầu đối với dự án Nhóm I,Dự án đầu tư Nhóm I,"Điều 28, Khoản 3",Đánh giá sơ bộ tác động môi trường (PEIA),"Điều 3, Khoản 6","Điều 29, Khoản 1"
19,Miễn chi trả,"Chất thải rắn có khả năng tái sử dụng, tái chế","Điều 75, Khoản 1a","Giá dịch vụ thu gom, vận chuyển và xử lý","Điều 79, Khoản 1","Điều 79, Khoản 1c"
20,Cơ chế kinh tế,Hạn ngạch phát thải khí nhà kính,"Điều 3, Khoản 33",Tín chỉ các-bon,"Điều 3, Khoản 35","Điều 139, Khoản 1"
21,Mô hình khuyến khích,Kinh tế tuần hoàn,"Điều 142, Khoản 1","Giảm khai thác nguyên liệu, kéo dài vòng đời sản phẩm, hạn chế chất thải","Điều 142, Khoản 1","Điều 142, Khoản 1; Điều 5, Khoản 11"
22,Cơ sở bắt buộc áp dụng,Tiêu chuẩn môi trường,"Điều 3, Khoản 11",Quy chuẩn kỹ thuật môi trường,"Điều 3, Khoản 10","Điều 103, Khoản 2"
23,Bảo đảm trách nhiệm,Khai thác khoáng sản/Chôn lấp chất thải/Nhập khẩu phế liệu,"Điều 137, Khoản 2",Ký quỹ bảo vệ môi trường,"Điều 137, Khoản 1","Điều 137, Khoản 1, 2"
24,Gây phương hại,Hoạt động bảo vệ môi trường,"Điều 4, Khoản 7","Chủ quyền, an ninh và lợi ích quốc gia","Điều 4, Khoản 7","Điều 4, Khoản 7"
25,Tiền đề hình thành,Khu vực ô nhiễm môi trường đất,"Điều 16, Khoản 1",Ô nhiễm môi trường,"Điều 3, Khoản 12","Điều 16, Khoản 1 (Khu vực ô nhiễm MT đất là đất có chất ô nhiễm vượt mức QCKTMT)"
26,Mục tiêu đánh giá,Kiểm toán môi trường,"Điều 74, Khoản 1",Kiểm soát ô nhiễm,"Điều 3, Khoản 22","Điều 74, Khoản 1 (Kiểm toán MT đánh giá hiệu quả quản lý MT, kiểm soát ô nhiễm)"
27,Loại sự cố,Sự cố chất thải,"Điều 121, Khoản 6",Sự cố môi trường,"Điều 3, Khoản 14","Điều 121, Khoản 6 (Phòng ngừa sự cố môi trường do rò rỉ, tràn đổ, phát tán chất thải)"
28,Trách nhiệm khắc phục,Sự cố môi trường,"Điều 3, Khoản 14",Chi phí ứng phó sự cố môi trường / Phục hồi môi trường,"Điều 128, K. 1; Điều 126","Điều 128, Khoản 1 (Tổ chức, cá nhân gây ra SCMT có trách nhiệm chi trả kịp thời, toàn bộ các chi phí tổ chức ứng phó SCMT, phục hồi môi trường)"
