STT,Đối tượng,Phạm vi,Nội dung,Điều khoản,Liên kết khái niệm,Cơ quan Thẩm quyền Cấp/Giải quyết,Lộ trình/Thời điểm Áp dụng,Hậu quả Pháp lý/Hành chính,Keyphrase
1,"Mọi cơ quan, tổ chức, Cộng đồng dân cư, hộ gia đình và cá nhân",Quyền & Nghĩa vụ,"Bảo vệ Môi trường là quyền, nghĩa vụ và trách nhiệm của mọi đối tượng trên lãnh thổ Việt Nam.","Điều 4, Khoản 1; Điều 1, Khoản 1","Môi trường, Hoạt động bảo vệ môi trường, Cộng đồng dân cư ",Nhà nước/Cơ quan quản lý các cấp,Đã áp dụng (Hiệu lực từ ngày 01 tháng 01 năm 2022),"Bị xử lý kỷ luật, xử phạt vi phạm hành chính hoặc bị truy cứu trách nhiệm hình sự","Quyền, nghĩa vụ, trách nhiệm"
2,"Tổ chức, cá nhân gây ô nhiễm",Trách nhiệm tài chính,"Phải chi trả, bồi thường Thiệt hại do ô nhiễm, suy thoái môi trường, khắc phục, xử lý nếu gây Ô nhiễm môi trường, Sự cố môi trường và Suy thoái môi trường.","Điều 4, Khoản 6","Ô nhiễm môi trường, Sự cố môi trường, Thiệt hại do ô nhiễm, suy thoái môi trường",Cơ quan có trách nhiệm yêu cầu bồi thường (UBND các cấp hoặc Bộ Tài nguyên và Môi trường),Theo thời điểm phát sinh thiệt hại,"Phải bồi thường toàn bộ thiệt hại và chi trả toàn bộ chi phí xác định thiệt hại,","Bồi thường toàn bộ thiệt hại, chi trả chi phí"
3,Chủ dự án đầu tư nhóm I,Nghĩa vụ,Phải thực hiện Đánh giá sơ bộ tác động môi trường (PEIA).,"Điều 29, Khoản 1; Điều 28, Khoản 3","Đánh giá sơ bộ tác động môi trường (PEIA), Chủ dự án đầu tư nhóm I,",Cơ quan nhà nước có thẩm quyền xem xét (đồng thời với hồ sơ chủ trương đầu tư),Trong giai đoạn nghiên cứu tiền khả thi (hoặc đề xuất chủ trương đầu tư),Hồ sơ đề nghị chấp thuận chủ trương đầu tư bị từ chối,"PEIA, Chủ dự án đầu tư nhóm I"
4,"Chủ dự án đầu tư, cơ sở được cấp Giấy phép môi trường",Quyền,Được thực hiện các nội dung cấp phép Môi trường quy định trong Giấy phép môi trường.,"Điều 47, Khoản 1a","Giấy phép môi trường, Môi trường ",Cơ quan cấp Giấy phép môi trường ,"Theo thời hạn của Giấy phép môi trường (07 hoặc 10 năm),",N/A,Thực hiện nội dung cấp phép
5,"Chủ dự án đầu tư, cơ sở được cấp Giấy phép môi trường",Nghĩa vụ,"Thực hiện đúng, đầy đủ các yêu cầu về Hoạt động bảo vệ môi trường trong Giấy phép môi trường; báo cáo khi có thay đổi.","Điều 47, Khoản 2a","Giấy phép môi trường, Hoạt động bảo vệ môi trường",Cơ quan cấp Giấy phép môi trường ,Liên tục trong suốt thời gian vận hành chính thức,Bị tước quyền sử dụng hoặc thu hồi Giấy phép môi trường,"Thực hiện đúng yêu cầu, Báo cáo thay đổi"
6,Chủ dự án đầu tư (thuộc đối tượng Đánh giá tác động môi trường),Nghĩa vụ,Phải có Giấy phép môi trường trước khi Vận hành thử nghiệm công trình xử lý chất thải.,"Điều 42, Khoản 2a","Vận hành thử nghiệm công trình xử lý chất thải, Giấy phép môi trường",Cơ quan cấp Giấy phép môi trường ,Trước khi Vận hành thử nghiệm,Không được vận hành thử nghiệm/xả thải (Hành vi bị nghiêm cấm),"Trước Vận hành thử nghiệm, Công trình xử lý chất thải (Implicitly linked via Art 132)"
7,"Chủ dự án đầu tư, cơ sở",Nghĩa vụ,Công khai Giấy phép môi trường và báo cáo Đánh giá tác động môi trường đã được phê duyệt.,"Điều 47, Khoản 2đ; Điều 37, Khoản 5",Thông tin về môi trường ,Chủ dự án đầu tư /Cơ quan cấp phép,"Ngay sau khi được cấp (trừ bí mật nhà nước, bí mật doanh nghiệp)",N/A,"Công khai giấy phép, Trừ bí mật"
8,Chủ dự án đầu tư (thuộc đối tượng Đánh giá tác động môi trường),Trách nhiệm,"Điều chỉnh, bổ sung nội dung của dự án đầu tư và báo cáo Đánh giá tác động môi trường cho phù hợp với yêu cầu trong quyết định phê duyệt kết quả thẩm định.","Điều 37, Khoản 1",Đánh giá tác động môi trường (EIA/ĐTM) ,Cơ quan phê duyệt kết quả thẩm định Đánh giá tác động môi trường ,Trước khi đưa dự án vào vận hành chính thức,"Nếu không điều chỉnh, không được vận hành chính thức","Điều chỉnh nội dung dự án, Phù hợp kết quả thẩm định"
9,"Tổ chức, cá nhân (ngoài đối tượng Giấy phép môi trường)",Nghĩa vụ,Phải thực hiện Đăng ký môi trường (nếu phát sinh Chất thải).,"Điều 49, Khoản 1","Đăng ký môi trường, Chất thải ",Ủy ban nhân dân cấp xã ,Trước khi vận hành chính thức (hoặc trước khi cấp giấy phép xây dựng),Bị kiểm tra và xử lý vi phạm pháp luật về Hoạt động bảo vệ môi trường,"Đăng ký môi trường, Chất thải"
10,"Hộ gia đình, cá nhân",Nghĩa vụ,"Phân loại Chất thải rắn sinh hoạt tại nguồn, thu gom và chuyển giao đến đúng nơi quy định.","Điều 60, Khoản 1a, Điều 75, Khoản 1",Chất thải rắn sinh hoạt,Ủy ban nhân dân cấp xã,"Chậm nhất là ngày 31 tháng 12 năm 2024,","Cơ sở thu gom có quyền từ chối thu gom, vận chuyển","Phân loại tại nguồn, Chất thải rắn sinh hoạt"
